order_id,order_reference,order_date,customer_id,gross_amount,currency,payment_method,order_status
ORD-10095,CHK-Q7NC8,2026-08-22,CUS-3178,2500.0,INR,NetBanking,PAID
ORD-10096,INV-D9NE9,2026-08-22,CUS-1372,5000.0,INR,NetBanking,PAID
ORD-10097,CHK-XTT4H,2026-08-22,CUS-5516,2500.0,INR,UPI,PAID
ORD-10098,WEB-HCVQX,2026-08-16,CUS-7868,18900.0,INR,UPI,REFUNDED
ORD-10099,CHK-KB867,2026-08-17,CUS-9540,2450.0,INR,Wallet,PAID
ORD-10100,CHK-8TEHG,2026-08-17,CUS-1944,12500.0,INR,NetBanking,PAID
ORD-10101,ORD-8D9RH,2026-08-20,CUS-1251,2450.0,INR,UPI,REFUNDED
ORD-10102,ORD-ZATUZ,2026-08-20,CUS-1749,18900.0,INR,UPI,PAID
ORD-10103,WEB-S4C4B,2026-08-23,CUS-9882,24000.0,INR,Card,PAID
ORD-10104,INV-TKSYP,2026-08-21,CUS-9673,35000.0,INR,Card,PAID
ORD-10105,CHK-NTBAF,2026-08-16,CUS-1519,750.0,INR,Card,PAID
ORD-10106,INV-AGE44,2026-08-19,CUS-1539,1200.0,INR,Card,PAID
ORD-10107,APP-28N2A,2026-08-21,CUS-2245,4850.0,INR,Card,PAID
ORD-10108,INV-DAKMJ,2026-08-25,CUS-7383,4850.0,INR,UPI,PAID
ORD-10109,APP-FNEKR,2026-08-23,CUS-4977,18900.0,INR,NetBanking,PAID
ORD-10110,INV-P4WVK,2026-08-24,CUS-6399,8500.0,INR,UPI,PAID
ORD-10111,APP-AZ8G3,2026-08-24,CUS-9939,1200.0,INR,UPI,PAID
ORD-10112,APP-V7DHX,2026-08-21,CUS-6890,35000.0,INR,UPI,PAID
ORD-10113,INV-9RK7C,2026-08-21,CUS-9199,1200.0,INR,UPI,PAID
ORD-10114,ORD-TLPQ3,2026-08-25,CUS-4996,12500.0,INR,NetBanking,PAID
ORD-10115,CHK-DXR8L,2026-08-23,CUS-6340,2450.0,INR,UPI,PAID
ORD-10116,CHK-VUPRT,2026-08-20,CUS-9369,6200.0,INR,Card,PAID
ORD-10117,ORD-CA2KJ,2026-08-22,CUS-8272,50000.0,INR,UPI,PAID
ORD-10118,CHK-TDD24,2026-08-23,CUS-8492,18900.0,INR,UPI,PAID
ORD-10119,CHK-T9D42,2026-08-20,CUS-1681,35000.0,INR,UPI,PAID
ORD-10120,CHK-LA2ZZ,2026-08-19,CUS-7046,8500.0,INR,Card,PAID
ORD-10121,CHK-A7FQ9,2026-08-25,CUS-1752,750.0,INR,Card,PAID
ORD-10122,WEB-AMBIG1,2026-08-18,CUS-9901,1500.0,INR,UPI,PAID
ORD-10123,WEB-AMBIG2,2026-08-18,CUS-9902,1500.0,INR,UPI,PAID
