gateway_transaction_id,order_reference,captured_amount,transaction_date,payment_status,payment_method,gateway_fee,gst_on_fee,refund_amount,chargeback_amount,settlement_id,settlement_date
TXN-50028,INV-ATJ9T,1200.0,2026-08-18,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260818-028,2026-08-18
TXN-50029,ORD-38CHT,1200.0,2026-08-16,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260816-029,2026-08-16
TXN-50030,ORD-TFPYR,2450.0,2026-08-19,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260819-030,2026-08-19
TXN-50031,APP-ZUKDY,3999.0,2026-08-17,CAPTURED,UPI,79.98,14.4,0.0,0.0,SET-20260817-031,2026-08-17
TXN-50032,CHK-SQJ9P,1200.0,2026-08-25,CAPTURED,NetBanking,24.0,4.32,0.0,0.0,SET-20260825-032,2026-08-25
TXN-50033,WEB-XTPGM,12500.0,2026-08-20,CAPTURED,UPI,250.0,45.0,0.0,0.0,SET-20260820-033,2026-08-20
TXN-50034,WEB-WE7KY,8500.0,2026-08-16,CAPTURED,UPI,170.0,30.6,0.0,0.0,SET-20260816-034,2026-08-16
TXN-50035,CHK-TMTTQ,1200.0,2026-08-19,CAPTURED,Card,24.0,4.32,0.0,0.0,SET-20260819-035,2026-08-19
TXN-50036,CHK-D7AE5,750.0,2026-08-15,CAPTURED,UPI,15.0,2.7,0.0,0.0,SET-20260815-036,2026-08-15
TXN-50037,INV-9ZPDW,24000.0,2026-08-15,CAPTURED,Card,480.0,86.4,0.0,0.0,SET-20260815-037,2026-08-15
TXN-50038,APP-EQJJA,8500.0,2026-08-21,CAPTURED,Card,170.0,30.6,0.0,0.0,SET-20260821-038,2026-08-21
TXN-50039,INV-A4NA5,35000.0,2026-08-21,CAPTURED,Card,700.0,126.0,0.0,0.0,SET-20260821-039,2026-08-21
TXN-50040,WEB-UZCKZ,8500.0,2026-08-25,CAPTURED,Card,170.0,30.6,0.0,0.0,SET-20260825-040,2026-08-25
TXN-50041,CHK-83M3A,24000.0,2026-08-16,CAPTURED,UPI,480.0,86.4,0.0,0.0,SET-20260816-041,2026-08-16
TXN-50042,CHK-DBB9D,24000.0,2026-08-25,CAPTURED,NetBanking,480.0,86.4,0.0,0.0,SET-20260825-042,2026-08-25
TXN-50043,CHK-QHM9M,2450.0,2026-08-19,CAPTURED,UPI,49.0,8.82,0.0,0.0,SET-20260819-043,2026-08-19
TXN-50044,ORD-4H23V,18900.0,2026-08-18,CAPTURED,UPI,378.0,68.04,0.0,0.0,SET-20260818-044,2026-08-18
TXN-50045,CHK-2SDS8,8500.0,2026-08-21,CAPTURED,UPI,170.0,30.6,0.0,0.0,SET-20260821-045,2026-08-21
TXN-50046,APP-TL9SQ,18900.0,2026-08-17,CAPTURED,UPI,378.0,68.04,0.0,0.0,SET-20260818-046,2026-08-18
TXN-50047,CHK-C4CDZ,1200.0,2026-08-20,CAPTURED,Card,24.0,4.32,0.0,0.0,SET-20260821-047,2026-08-21
TXN-50048,WEB-MTDJH,2450.0,2026-08-23,CAPTURED,UPI,49.0,8.82,0.0,0.0,SET-20260824-048,2026-08-24
TXN-50049,ORD-Z9CSN,750.0,2026-08-17,CAPTURED,NetBanking,15.0,2.7,0.0,0.0,SET-20260818-049,2026-08-18
TXN-50050,INV-PKXRX,750.0,2026-08-21,CAPTURED,UPI,15.0,2.7,0.0,0.0,SET-20260822-050,2026-08-22
TXN-50051,WEB-PQCLP,6200.0,2026-08-25,CAPTURED,NetBanking,124.0,22.32,0.0,0.0,SET-20260826-051,2026-08-26
TXN-50052,INV-2CWSG,2450.0,2026-08-21,CAPTURED,NetBanking,49.0,8.82,0.0,0.0,SET-20260822-052,2026-08-22
TXN-50053,INV-ECQKJ,24000.0,2026-08-24,CAPTURED,UPI,480.0,86.4,0.0,0.0,SET-20260825-053,2026-08-25
TXN-50054,CHK-S8Q34,18900.0,2026-08-24,CAPTURED,Card,378.0,68.04,0.0,0.0,SET-20260825-054,2026-08-25
TXN-50055,APP-XKZX7,750.0,2026-08-25,CAPTURED,UPI,15.0,2.7,0.0,0.0,SET-20260826-055,2026-08-26
TXN-50056,CHK-SAK8L,24000.0,2026-08-25,CAPTURED,NetBanking,480.0,86.4,0.0,0.0,SET-20260827-056,2026-08-27
TXN-50057,CHK-BMZ9V,35000.0,2026-08-17,CAPTURED,NetBanking,700.0,126.0,0.0,0.0,SET-20260819-057,2026-08-19
TXN-50058,WEB-W5TD5,3999.0,2026-08-18,CAPTURED,NetBanking,79.98,14.4,0.0,0.0,SET-20260820-058,2026-08-20
TXN-50059,WEB-4W3EK,4850.0,2026-08-16,CAPTURED,UPI,97.0,17.46,0.0,0.0,SET-20260818-059,2026-08-18
TXN-50060,APP-QD6VA,24000.0,2026-08-16,CAPTURED,UPI,480.0,86.4,0.0,0.0,SET-20260818-060,2026-08-18
TXN-50061,INV-ZMCHX,4850.0,2026-08-22,CAPTURED,UPI,97.0,17.46,0.0,0.0,SET-20260824-061,2026-08-24
TXN-50062,ORD-6LKN4,499.0,2026-08-22,CAPTURED,UPI,9.98,1.8,0.0,0.0,SET-20260824-062,2026-08-24
TXN-50063,APP-JCPP9,4850.0,2026-08-17,CAPTURED,UPI,97.0,17.46,0.0,0.0,SET-20260819-063,2026-08-19
TXN-50064,CHK-8M2US,5000.0,2026-08-15,CAPTURED,UPI,100.0,18.0,0.0,0.0,SET-20260816-064,2026-08-16
TXN-50065,WEB-AFS7D,2000.0,2026-08-15,CAPTURED,Card,40.0,7.2,0.0,0.0,SET-20260816-064,2026-08-16
TXN-50066,APP-K7RD5,2000.0,2026-08-15,CAPTURED,UPI,40.0,7.2,0.0,0.0,SET-20260816-064,2026-08-16
TXN-50067,INV-XYTKK,1000.0,2026-08-15,CAPTURED,UPI,20.0,3.6,0.0,0.0,SET-20260816-064,2026-08-16
TXN-50068,WEB-ELCQS,4200.0,2026-08-16,CAPTURED,UPI,84.0,15.12,0.0,0.0,SET-20260817-065,2026-08-17
TXN-50069,CHK-S54SK,2000.0,2026-08-16,CAPTURED,UPI,40.0,7.2,0.0,0.0,SET-20260817-065,2026-08-17
TXN-50070,APP-65JWT,2500.0,2026-08-16,CAPTURED,UPI,50.0,9.0,0.0,0.0,SET-20260817-065,2026-08-17
TXN-50071,WEB-RWK8R,5000.0,2026-08-17,CAPTURED,NetBanking,100.0,18.0,0.0,0.0,SET-20260818-066,2026-08-18
TXN-50072,CHK-CBQRG,2500.0,2026-08-17,CAPTURED,Card,50.0,9.0,0.0,0.0,SET-20260818-066,2026-08-18
TXN-50073,INV-Z59EM,5000.0,2026-08-17,CAPTURED,Card,100.0,18.0,0.0,0.0,SET-20260818-066,2026-08-18
TXN-50074,CHK-DQEB8,2000.0,2026-08-17,CAPTURED,NetBanking,40.0,7.2,0.0,0.0,SET-20260818-066,2026-08-18
TXN-50075,CHK-KADEJ,5000.0,2026-08-17,CAPTURED,UPI,100.0,18.0,0.0,0.0,SET-20260818-067,2026-08-18
TXN-50076,WEB-NUGTC,2500.0,2026-08-17,CAPTURED,UPI,50.0,9.0,0.0,0.0,SET-20260818-067,2026-08-18
TXN-50077,CHK-9ZKL4,2000.0,2026-08-16,CAPTURED,UPI,40.0,7.2,0.0,0.0,SET-20260817-068,2026-08-17
TXN-50078,WEB-MX9U3,3000.0,2026-08-16,CAPTURED,Card,60.0,10.8,0.0,0.0,SET-20260817-068,2026-08-17
TXN-50079,CHK-JW9UH,4200.0,2026-08-16,CAPTURED,UPI,84.0,15.12,0.0,0.0,SET-20260817-068,2026-08-17
TXN-50080,ORD-ST9RN,1000.0,2026-08-24,CAPTURED,Wallet,20.0,3.6,0.0,0.0,SET-20260825-069,2026-08-25
TXN-50081,INV-TX5X3,4200.0,2026-08-24,CAPTURED,UPI,84.0,15.12,0.0,0.0,SET-20260825-069,2026-08-25
TXN-50082,ORD-JK892,2000.0,2026-08-24,CAPTURED,Card,40.0,7.2,0.0,0.0,SET-20260825-069,2026-08-25
TXN-50083,CHK-M73JD,2500.0,2026-08-24,CAPTURED,Card,50.0,9.0,0.0,0.0,SET-20260825-069,2026-08-25
TXN-50084,ORD-WBPYD,4200.0,2026-08-17,CAPTURED,Card,84.0,15.12,0.0,0.0,SET-20260818-070,2026-08-18
TXN-50085,ORD-P76RG,4200.0,2026-08-17,CAPTURED,Wallet,84.0,15.12,0.0,0.0,SET-20260818-070,2026-08-18
TXN-50086,WEB-AUD9K,2500.0,2026-08-16,CAPTURED,Wallet,50.0,9.0,0.0,0.0,SET-20260817-071,2026-08-17
TXN-50087,CHK-6ESJ3,4200.0,2026-08-16,CAPTURED,UPI,84.0,15.12,0.0,0.0,SET-20260817-071,2026-08-17
TXN-50088,INV-YALKX,5000.0,2026-08-16,CAPTURED,UPI,100.0,18.0,0.0,0.0,SET-20260817-071,2026-08-17
TXN-50089,APP-LND9R,3000.0,2026-08-16,CAPTURED,NetBanking,60.0,10.8,0.0,0.0,SET-20260817-071,2026-08-17
TXN-50090,INV-MH8RQ,5000.0,2026-08-22,CAPTURED,Wallet,100.0,18.0,0.0,0.0,SET-20260823-072,2026-08-23
TXN-50091,APP-72342,3000.0,2026-08-22,CAPTURED,Card,60.0,10.8,0.0,0.0,SET-20260823-072,2026-08-23
TXN-50092,CHK-SM7D4,4200.0,2026-08-22,CAPTURED,NetBanking,84.0,15.12,0.0,0.0,SET-20260823-072,2026-08-23
TXN-50093,APP-ELSDG,4200.0,2026-08-22,CAPTURED,Card,84.0,15.12,0.0,0.0,SET-20260823-072,2026-08-23
TXN-50094,CHK-BP229,1000.0,2026-08-22,CAPTURED,Card,20.0,3.6,0.0,0.0,SET-20260823-073,2026-08-23
TXN-50095,CHK-Q7NC8,2500.0,2026-08-22,CAPTURED,NetBanking,50.0,9.0,0.0,0.0,SET-20260823-073,2026-08-23
TXN-50096,INV-D9NE9,5000.0,2026-08-22,CAPTURED,NetBanking,100.0,18.0,0.0,0.0,SET-20260823-073,2026-08-23
TXN-50097,CHK-XTT4H,2500.0,2026-08-22,CAPTURED,UPI,50.0,9.0,0.0,0.0,SET-20260823-073,2026-08-23
TXN-50098,WEB-HCVQX,18900.0,2026-08-16,REFUNDED,UPI,378.0,68.04,18900.0,0.0,SET-20260816-074,2026-08-16
TXN-50099,CHK-KB867,2450.0,2026-08-17,CAPTURED,Wallet,49.0,8.82,1225.0,0.0,SET-20260817-075,2026-08-17
TXN-50100,CHK-8TEHG,12500.0,2026-08-17,CAPTURED,NetBanking,250.0,45.0,6250.0,0.0,SET-20260817-076,2026-08-17
TXN-50101,ORD-8D9RH,2450.0,2026-08-20,REFUNDED,UPI,49.0,8.82,2450.0,0.0,SET-20260820-077,2026-08-20
TXN-50102,ORD-ZATUZ,18900.0,2026-08-20,CAPTURED,UPI,378.0,68.04,9450.0,0.0,SET-20260820-078,2026-08-20
TXN-50103,WEB-S4C4B,24000.0,2026-08-23,DISPUTED,Card,480.0,86.4,0.0,24000.0,SET-20260823-079,2026-08-23
TXN-50104,INV-TKSYP,35000.0,2026-08-21,DISPUTED,Card,700.0,126.0,0.0,35000.0,SET-20260821-080,2026-08-21
TXN-50105,CHK-NTBAF,750.0,2026-08-16,DISPUTED,Card,15.0,2.7,0.0,750.0,SET-20260816-081,2026-08-16
TXN-50106,INV-AGE44,1200.0,2026-08-19,DISPUTED,Card,24.0,4.32,0.0,1200.0,SET-20260819-082,2026-08-19
TXN-50107,APP-28N2A,4850.0,2026-08-21,DISPUTED,Card,97.0,17.46,0.0,4850.0,SET-20260821-083,2026-08-21
TXN-50108,INV-DAKMJ,4850.0,2026-08-25,CAPTURED,UPI,97.0,17.46,0.0,0.0,SET-20260825-084,2026-08-25
TXN-50109,APP-FNEKR,18900.0,2026-08-23,CAPTURED,NetBanking,378.0,68.04,0.0,0.0,SET-20260823-085,2026-08-23
TXN-50110,INV-P4WVK,8500.0,2026-08-24,CAPTURED,UPI,170.0,30.6,0.0,0.0,SET-20260824-086,2026-08-24
TXN-50111,APP-AZ8G3,1200.0,2026-08-24,CAPTURED,UPI,24.0,4.32,0.0,0.0,SET-20260824-087,2026-08-24
TXN-50112,APP-V7DHX,35000.0,2026-08-21,CAPTURED,UPI,700.0,126.0,0.0,0.0,SET-20260821-088,2026-08-21
TXN-50113,INV-9RK7C,1200.0,2026-08-21,CAPTURED,UPI,24.0,4.32,0.0,0.0,SET-20260821-089,2026-08-21
TXN-50114,INV-9RK7C,1200.0,2026-08-21,CAPTURED,UPI,24.0,4.32,0.0,0.0,SET-20260821-089,2026-08-21
TXN-50115,ORD-TLPQ3,12500.0,2026-08-25,CAPTURED,NetBanking,250.0,45.0,0.0,0.0,SET-20260825-090,2026-08-25
TXN-50116,ORD-TLPQ3,12500.0,2026-08-25,CAPTURED,NetBanking,250.0,45.0,0.0,0.0,SET-20260825-090,2026-08-25
TXN-50117,CHK-DXR8L,2450.0,2026-08-23,CAPTURED,UPI,49.0,8.82,0.0,0.0,SET-20260823-091,2026-08-23
TXN-50118,CHK-DXR8L,2450.0,2026-08-23,CAPTURED,UPI,49.0,8.82,0.0,0.0,SET-20260823-091,2026-08-23
TXN-50119,CHK-VUPRT,6200.0,2026-08-20,CAPTURED,Card,124.0,22.32,0.0,0.0,SET-20260820-092,2026-08-20
TXN-50120,CHK-VUPRT,6200.0,2026-08-20,CAPTURED,Card,124.0,22.32,0.0,0.0,SET-20260820-092,2026-08-20
TXN-50121,ORD-CA2KJ,50000.0,2026-08-22,CAPTURED,UPI,1525.42,274.58,0.0,0.0,SET-1042,2026-08-22
TXN-50122,CHK-TDD24,18900.0,2026-08-23,CAPTURED,UPI,378.0,68.04,0.0,0.0,SET-20260823-093,2026-08-23
TXN-50123,CHK-T9D42,35000.0,2026-08-20,CAPTURED,UPI,700.0,126.0,0.0,0.0,SET-20260820-094,2026-08-20
TXN-50124,INV-M4Q92,8500.0,2026-08-19,CAPTURED,NetBanking,170.0,30.6,0.0,0.0,SET-20260819-095,2026-08-19
TXN-50125,WEB-E2PBJ,12500.0,2026-08-19,CAPTURED,UPI,250.0,45.0,0.0,0.0,SET-20260819-096,2026-08-19
TXN-50126,CHK-LA2ZZ,8500.0,2026-08-19,CAPTURED,Card,467.5,84.15,0.0,0.0,SET-20260819-097,2026-08-19
TXN-50127,CHK-A7FQ9,750.0,2026-08-25,CAPTURED,Card,41.25,7.43,0.0,0.0,SET-20260825-098,2026-08-25
TXN-50128,REF-UNKNOWN,1500.0,2026-08-18,CAPTURED,UPI,30.0,5.4,0.0,0.0,,2026-08-18
