bank_transaction_id,transaction_date,description,reference,credit_amount,debit_amount,balance,bank_utr
BANK-80077,2026-08-20,SETTLEMENT REF ORD-8D9RH / KKBK732324633848,SET-20260820-077,0.0,57.82,966360.75,KKBK732324633848
BANK-80078,2026-08-20,settlement ref ord-zatuz / utib133846628964,SET-20260820-078,9003.96,0.0,975364.71,UTIB133846628964
BANK-80092,2026-08-20,COLLECTION CREDIT RZP CHK-VUPRT,SET-20260820-092,6053.68,0.0,981418.39,PUNB911218689413
BANK-80004,2026-08-21,PAYMENT GATEWAY CREDIT SET-20260821-004 VIA NEFT,INV-GR6WE,18900.0,0.0,1000318.39,ICIC252583295001
BANK-80005,2026-08-21,RZP PAYOUT APP-9S95A UTR:PUNB187732107797,APP-9S95A,6200.0,0.0,1006518.39,PUNB187732107797
BANK-80023,2026-08-21,RZP PAYOUT WEB-ZB8HC UTR:PUNB002862419423,WEB-ZB8HC,8500.0,0.0,1015018.39,PUNB002862419423
BANK-80038,2026-08-21,collection credit rzp app-eqjja,SET-20260821-038,8299.4,0.0,1023317.79,SBIN961435642813
BANK-80039,2026-08-21,PAYMENT GATEWAY CREDIT SET-20260821-039 VIA NEFT,SET-20260821-039,34174.0,0.0,1057491.79,PUNB997897282127
BANK-80045,2026-08-21,RZP PAYOUT CHK-2SDS8 UTR:HDFC796360984174,SET-20260821-045,8299.4,0.0,1065791.19,HDFC796360984174
BANK-80047,2026-08-21,settlement ref chk-c4cdz / icic555313678796,SET-20260821-047,1171.68,0.0,1066962.87,ICIC555313678796
BANK-80080,2026-08-21,RAZORPAY NEFT SETTLEMENT INV-TKSYP,SET-20260821-080,0.0,826.0,1066136.87,ICIC101158233459
BANK-80083,2026-08-21,cms/razorpay/set-20260821-083/nodal,SET-20260821-083,0.0,114.46,1066022.41,UTIB742531537220
BANK-80088,2026-08-21,RAZORPAY NEFT SETTLEMENT APP-V7DHX,SET-20260821-088,20504.4,0.0,1086526.81,ICIC609637940255
BANK-80089,2026-08-21,SETTLEMENT REF INV-9RK7C / PUNB134244463381,SET-20260821-089,1171.68,0.0,1087698.49,PUNB134244463381
BANK-80007,2026-08-22,RAZORPAY SETTLEMENT SET-20260822-007,APP-5PGTZ,3999.0,0.0,1091697.49,ICIC736384200550
BANK-80020,2026-08-22,PAYMENT GATEWAY CREDIT SET-20260822-020 VIA NEFT,APP-QF5Q2,6200.0,0.0,1097897.49,PUNB274247238013
BANK-80026,2026-08-22,RAZORPAY SETTLEMENT SET-20260822-026 ,WEB-RLRMJ,4850.0,0.0,1102747.49,UTIB872090747664
BANK-80050,2026-08-22,RAZORPAY NEFT SETTLEMENT INV-PKXRX,SET-20260822-050,732.3,0.0,1103479.79,HDFC290297721441
BANK-80052,2026-08-22,COLLECTION CREDIT RZP INV-2CWSG,SET-20260822-052,2392.18,0.0,1105871.97,UTIB396112117096
BANK-80013,2026-08-23,PAYMENT GATEWAY CREDIT SET-20260823-013 VIA NEFT,ORD-YGWJR,18900.0,0.0,1124771.97,HDFC042076275400
BANK-80016,2026-08-23,RAZORPAY NEFT SETTLEMENT INV-F8JDP,INV-F8JDP,750.0,0.0,1125521.97,PUNB749181045869
BANK-80072,2026-08-23,COLLECTION CREDIT RZP SET-20260823-072,SET-20260823-072,16012.96,0.0,1141534.93,PUNB523264169876
BANK-80073,2026-08-23,RAZORPAY NEFT SETTLEMENT SET-20260823-073,SET-20260823-073,10740.4,0.0,1152275.33,HDFC563020204750
BANK-80079,2026-08-23,RAZORPAY SETTLEMENT SET-20260823-079,SET-20260823-079,0.0,566.4,1151708.93,HDFC482705366644
BANK-80085,2026-08-23,NEFT-RZP-PAYOUT-SET-20260823-085,SET-20260823-085,11072.38,0.0,1162781.31,HDFC122739746410
BANK-80091,2026-08-23,cms/razorpay/set-20260823-091/nodal,SET-20260823-091,2392.18,0.0,1165173.49,SBIN653868726011
BANK-80012,2026-08-24,RZP PAYOUT ORD-SEMCH UTR:UTIB187696082691,ORD-SEMCH,12500.0,0.0,1177673.49,UTIB187696082691
BANK-80018,2026-08-24,RZP PAYOUT CHK-XS38Z UTR:PUNB056387621024,CHK-XS38Z,8500.0,0.0,1186173.49,PUNB056387621024
BANK-80048,2026-08-24,SETTLEMENT REF WEB-MTDJH / SBIN898660982173,SET-20260824-048,2392.18,0.0,1188565.67,SBIN898660982173
BANK-80061,2026-08-24,RZP PAYOUT INV-ZMCHX UTR:HDFC773058174668,SET-20260824-061,4735.54,0.0,1193301.21,HDFC773058174668
BANK-80062,2026-08-24,NEFT-RZP-PAYOUT-SET-20260824-062,SET-20260824-062,487.22,0.0,1193788.43,SBIN271378313878
BANK-80086,2026-08-24,NEFT-RZP-PAYOUT-SET-20260824-086,SET-20260824-086,4979.64,0.0,1198768.07,KKBK923992645238
BANK-80087,2026-08-24,NEFT-RZP-PAYOUT-SET-20260824-087,SET-20260824-087,703.01,0.0,1199471.08,PUNB087613214345
BANK-80001,2026-08-25,NEFT-RZP-PAYOUT-SET-20260825-001,ORD-EDZTU,2450.0,0.0,1201921.08,HDFC025016525808
BANK-80019,2026-08-25,SETTLEMENT REF CHK-HWA22 / HDFC728645911455,CHK-HWA22,8500.0,0.0,1210421.08,HDFC728645911455
BANK-80025,2026-08-25,COLLECTION CREDIT RZP WEB-PM6QE,WEB-PM6QE,8500.0,0.0,1218921.08,ICIC792854472880
BANK-80032,2026-08-25,RZP PAYOUT CHK-SQJ9P UTR:SBIN944311446470,SET-20260825-032,1171.68,0.0,1220092.76,SBIN944311446470
BANK-80040,2026-08-25,RZP PAYOUT WEB-UZCKZ UTR:ICIC278352199928,SET-20260825-040,8299.4,0.0,1228392.16,ICIC278352199928
BANK-80042,2026-08-25,NEFT-RZP-PAYOUT-SET-20260825-042,SET-20260825-042,23433.6,0.0,1251825.76,ICIC814679471404
BANK-80053,2026-08-25,RAZORPAY SETTLEMENT SET-20260825-053,SET-20260825-053,23433.6,0.0,1275259.36,HDFC304032690535
BANK-80054,2026-08-25,RAZORPAY SETTLEMENT SET-20260825-054,SET-20260825-054,18453.96,0.0,1293713.32,PUNB060795639376
BANK-80069,2026-08-25,NEFT-RZP-PAYOUT-SET-20260825-069,SET-20260825-069,9471.08,0.0,1303184.4,ICIC091031647987
BANK-80084,2026-08-25,RZP PAYOUT INV-DAKMJ UTR:ICIC045510557804,SET-20260825-084,2841.32,0.0,1306025.72,ICIC045510557804
BANK-80090,2026-08-25,RZP PAYOUT ORD-TLPQ3 UTR:PUNB164061537278,SET-20260825-090,12205.0,0.0,1318230.72,PUNB164061537278
BANK-80096,2026-08-25,NEFT-RZP-PAYOUT-SET-20260825-098,SET-20260825-098,701.32,0.0,1318932.04,SBIN261619262391
BANK-80051,2026-08-26,NEFT-RZP-PAYOUT-SET-20260826-051,SET-20260826-051,6053.68,0.0,1324985.72,SBIN741038689082
BANK-80055,2026-08-26,PAYMENT GATEWAY CREDIT SET-20260826-055 VIA NEFT,SET-20260826-055,732.3,0.0,1325718.02,ICIC351396359337
BANK-80056,2026-08-27,neft-rzp-payout-set-20260827-056,SET-20260827-056,23433.6,0.0,1349151.62,SBIN191275575686
